support;itemsets
1.0;[(2682, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (2956, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (2956, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (2956, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4068, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4078, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4078, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4066, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4078, 'DC'), (4068, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4066, 'DC'), (4068, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4078, 'DC'), (4068, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4078, 'DC'), (4068, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4068, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4066, 'DC'), (4068, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4068, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (4068, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4068, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (2956, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4078, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4068, 'DC'), (4124, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4068, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (4124, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2682, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4066, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2682, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2682, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4078, 'DC'), (3658, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4068, 'DC'), (2956, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4068, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4078, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4066, 'DC'), (4078, 'DC'), (4124, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4078, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4066, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4078, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4078, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4078, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4066, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4068, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4066, 'DC'), (4068, 'DC'), (4124, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4068, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2682, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (4124, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4078, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4026, 'DC'), (4066, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4066, 'DC'), (4078, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4066, 'DC'), (4078, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4078, 'DC'), (3636, 'DC'), (3658, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC')]
1.0;[(4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4078, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (2956, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4078, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(4026, 'DC'), (4078, 'DC'), (2956, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (2956, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (2956, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4068, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(4026, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4078, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4078, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4078, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(4066, 'DC'), (4078, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4078, 'DC'), (4068, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (3636, 'DC')]
1.0;[(4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4068, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4078, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (3636, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4068, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (3636, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4078, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4078, 'DC'), (2956, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4078, 'DC'), (2956, 'DC'), (3636, 'DC')]
1.0;[(4066, 'DC'), (4078, 'DC'), (2956, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (2956, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC')]
1.0;[(4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(4066, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(4066, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(4026, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(4026, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(4026, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(4078, 'DC'), (2956, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4068, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(4078, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(4066, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4078, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (4124, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4078, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(4026, 'DC'), (4078, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(4066, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC')]
1.0;[(4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4068, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (4124, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4078, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4026, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(4026, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC'), (2744, 'DC')]
1.0;[(4026, 'DC'), (4066, 'DC'), (4068, 'DC'), (4124, 'DC'), (3636, 'DC')]
1.0;[(2708, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4066, 'DC'), (4078, 'DC'), (2956, 'DC'), (4124, 'DC')]
1.0;[(2708, 'DC'), (4078, 'DC'), (3636, 'DC'), (3658, 'DC'), (2744, 'DC')]
1.0;[(4066, 'DC'), (4078, 'DC'), (3636, 'DC'), (3658, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (4068, 'DC'), (2744, 'DC'), (2956, 'DC')]
1.0;[(2682, 'DC'), (4026, 'DC'), (2956, 'DC'), (3658, 'DC'), (2744, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4066, 'DC'), (2956, 'DC'), (3658, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (2956, 'DC'), (3658, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4078, 'DC'), (2956, 'DC'), (3636, 'DC'), (3658, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (2956, 'DC'), (3636, 'DC'), (3658, 'DC')]
1.0;[(2682, 'DC'), (2956, 'DC'), (3636, 'DC'), (3658, 'DC'), (2744, 'DC')]
1.0;[(2682, 'DC'), (4066, 'DC'), (2956, 'DC'), (3636, 'DC'), (3658, 'DC')]
1.0;[(2682, 'DC'), (4078, 'DC'), (4068, 'DC'), (2956, 'DC'), (3658, 'DC')]
1.0;[(2708, 'DC'), (2682, 'DC'), (4068, 'DC'), (2956, 'DC'), (3658, 'DC')]
1.0;[(2682, 'DC'), (4068, 'DC'), (2956, 'DC'), (3658, 'DC'), (2744, 'DC')]
